prefix	polarity	rt	formula	Compound
P028	pos	1.23	C11H15N5O3S	5-S-Methyl-5-thioadenosine
P029	pos	1.23	C19H22O9	7-hydroxy-5-methyl-2-(2-oxopropyl)-8-[3-4-5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-4H-chromen-4-one
P030	pos	1.23	C27H30O15	Nictoflorin
P031	pos	1.26	C10H9NO	6-Methoxyquinoline_A
P032	pos	1.31	C10H9NO2	Indole-3-aceticacid
P033	pos	1.4	C6H5NO2	Picolinicacid
P034	pos	1.4	C9H7NO	8-Hydroxyquinoline
P035	pos	1.4	C10H10O3	3-Methoxycinnamicacid
P036	pos	1.4	C16H16O4	NP-013039
P037	pos	1.4	C16H16ClN3O3	2-[({[3-(2-chlorophenyl)-5-methyl-4-isoxazolyl]carbonyl}oxy)imino]piperidine
P038	pos	1.41	C13H10O4	Visnagin
P039	pos	1.42	C9H6O2	Coumarin_B
P040	pos	1.42	C10H13NO3	L-Tyrosinemethylester_B
P041	pos	1.42	C21H20O11	Cynaroside
P042	pos	1.43	C19H18O6	2-(2-6-dimethoxyphenyl)-5-6-dimethoxy-4H-chromen-4-one_B
P043	pos	1.45	C9H7N	Isoquinoline/Quinoline_B
P044	pos	1.46	C11H20N2O3	4-{[3-(Diethylamino)propyl]amino}-4-oxobut-2-enoicacid
P045	pos	1.46	C16H18O9	7-methoxy-6-{[(2S-3R-4S-5S-6R)-3-4-5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-2H-chromen-2-one
P046	pos	1.5	C11H12O3	4-methoxy-6-(prop-2-en-1-yl)-2H-1-3-benzodioxole_B
P047	pos	1.58	C10H10O2	Methylcinnamate_B
P048	pos	1.6	C11H22N2O3	tert-ButylN-[1-(aminocarbonyl)-3-methylbutyl]carbamate_A
P049	pos	1.63	C6H6N2O2	2-Aminonicotinicacid
P050	pos	1.68	C12H20N2O3	Pirbuterol_A
P051	pos	1.7	C28H32O16	5-7-Dihydroxy-2-(4-hydroxy-3-methoxyphenyl)-4-oxo-4H-chromen-3-yl6-O-(6-deoxy-L-mannopyranosyl)hexopyranoside
P052	pos	1.71	C17H20O	2-(Cyclohexylmethylidene)-1-2-3-4-tetrahydronaphthalen-1-one
P053	pos	1.79	C20H18O4S	methyl4-5-di(4-methoxyphenyl)thiophene-2-carboxylate
P054	pos	1.8	C8H10O4	NP-001422
P055	pos	1.83	C9H11NO3	2-Hydroxyphenylalanine
P056	pos	1.83	C20H24O7	1-3-Dihydroxy-1-(7-methoxy-2-oxo-2H-chromen-6-yl)-3-methyl-2-butanyl(2E)-2-methyl-2-butenoate
P057	pos	1.83	C21H20O10	Afzelin_B
P058	pos	1.84	C27H30O15	Keracyanin
P059	pos	1.88	C21H20O12	Quercetin-3D-glucoside
P060	pos	1.94	C4H8N2O3	3-Ureidopropionicacid
P061	pos	2.02	C25H29N3	Gentianviolet
P062	pos	2.02	C17H21N4O9P	Flavinmononucleotide(FMN)
P063	pos	2.04	C21H24N2	Quinupramine
P064	pos	2.05	C5H7NO3	L-Pyroglutamicacid_A
P065	pos	2.12	C19H22O9	Aloesin
P066	pos	2.14	C25H20N4O2S	8-9-Dimethoxy-2-(2-phenyldiazenyl)-3-(2-thienyl)-5-6-dihydropyrrolo[2-1-a]isoquinoline-1-carbonitrile_B
P067	pos	2.18	C10H13N5O4	Adenosine
P068	pos	2.25	C8H19N	N-N-Diisopropylethylamine(DIPEA)
P069	pos	2.27	C6H7NO2	NP-019811
P070	pos	2.28	C11H13N5O	6-{[2-(2-oxo-1-imidazolidinyl)ethyl]amino}-2-pyridinecarbonitrile
P071	pos	2.38	C11H17NO	Homo-anatoxin
P072	pos	2.4	C11H15NO	Phenmetrazine
P073	pos	2.43	C11H14N2	Gramine
P074	pos	2.45	C6H6N2O2	Nicotinamide1-oxide
P075	pos	2.5	C9H13N3	N1-[2-(4-Pyridyl)ethyl]ethanimidamide
P076	pos	2.52	C9H12N2	Nornicotine_A
P077	pos	2.52	C12H17NOS	Pyrrolidinobutiothiophenone
P078	pos	2.53	C5H5N5	Adenine
P079	pos	2.56	C7H15NO2	Acetylcholine
P080	pos	2.56	C10H9NO	6-Methoxyquinoline_B
P081	pos	2.6	C10H8N2OS	6-Phenyl-2-thiouracil
P082	pos	2.67	C21H20O11	Quercitrin
P083	pos	2.7	C27H30O16	Rutin
P084	pos	2.71	C9H12N2O2	5-amino-2-(dimethylamino)benzoicacid
P085	pos	2.71	C14H20N2O3	2-(2-amino-3-methylbutanamido)-3-phenylpropanoicacid_A
P086	pos	2.72	C11H22N2O3	tert-ButylN-[1-(aminocarbonyl)-3-methylbutyl]carbamate_B
P087	pos	2.75	C8H11N	2-6-Xylidine-2-4-Xylidine-N-N-Dimethylaniline
P088	pos	2.82	C9H18N2O	N-cyclooctylurea
P089	pos	2.86	C12H16O8	NP-013538_A
P090	pos	2.87	C27H30O15	Kaempferol-3-O-glucopyranosyl-7-O-rhamnopyranoside
P091	pos	2.88	C9H7N	Isoquinoline/Quinoline_C
P092	pos	2.9	C33H40O19	Kaempferol-3-Galactoside-6-Rhamnoside-3-Rhamnoside
P093	pos	2.95	C21H20O10	Afzelin_C
P094	pos	2.98	C11H8N2O	4-methyl-2-oxo-1-2-dihydroquinoline-3-carbonitrile
P095	pos	2.98	C10H7NO4	Xanthurenicacid
P096	pos	3	C10H15N	4-Butylaniline/Methamphetamine
P097	pos	3.27	C12H14N2O2	N-Acetylserotonin
P098	pos	3.4	C8H17N	Coniine_A
P099	pos	3.49	C9H12N2O2	Pyridostigmine
P100	pos	3.55	C8H11N	Phenethylamine
P101	pos	3.56	C11H22N2O3	tert-ButylN-[1-(aminocarbonyl)-3-methylbutyl]carbamate_C
P102	pos	3.64	C14H20N2O3	2-(2-amino-3-methylbutanamido)-3-phenylpropanoicacid_B
P103	pos	3.71	C10H12N2	1-propyl-1H-benzo[d]imidazolehydrobromide
P104	pos	3.86	C10H13NO3	L-Tyrosinemethylester_C
P105	pos	3.87	C19H22ClFN2S	N-[2-(tert-butylthio)ethyl]-3-chloro-N-(3-fluorophenyl)benzenecarboximidamide
P106	pos	3.9	C6H13N	Cyclohexylamine
P107	pos	3.9	C6H12N4	Hexamethylenetetramine
P108	pos	3.9	C9H12N2	Nornicotine_B
P109	pos	4.02	C10H12N2	(R-S)-Anatabine
P110	pos	4.03	C5H5N5O	Guanine_A
P111	pos	4.04	C7H14N2O	Nitrosoheptamethyleneimine
P112	pos	4.19	C8H15NO6	N-Acetyl-D-galactosamine
P113	pos	4.27	C9H7N	Isoquinoline/Quinoline_D
P114	pos	4.36	C9H11NO2	Phenylalanine
P115	pos	4.37	C15H13NO	2-3-Dihydro-1H-indol-7-yl(phenyl)methanone_B
P116	pos	4.57	C9H21NO3	Triisopropanolamine
P117	pos	5.02	C6H13NO2	Leucine
P118	pos	5.23	C10H18N2O3	Desthiobiotin
P119	pos	5.47	C11H20N2O3	Leucylproline_A
P120	pos	5.53	C11H12N2O2	Tryptophan
P121	pos	5.9	C6H13NO2	Isoleucine
P122	pos	6.2	C8H17N	Coniine_B
P123	pos	6.25	C5H10N2O	Prolinamide_A
P124	pos	6.3	C4H4N2O2	1H-Imidazole-4-carboxylicacid
P125	pos	6.47	C10H12N5O6P	Adenosine35-cyclicmonophosphate
P126	pos	6.49	C8H17NO2	Acetyl-methylcholine
P127	pos	6.62	C5H7N3O	5-Methylcytosine
P128	pos	6.7	C6H7N5	Methyladenine
P129	pos	7.19	C9H13N3O5	Cytidine_A
P130	pos	7.4	C4H11NO2	Diethanolamine_A
P131	pos	7.5	C5H10N2O	Prolinamide_B
P132	pos	7.5	C5H11N3O2	4-Guanidinobutyricacid
P133	pos	7.52	C6H7N	4-Picoline-2-Picoline-Aniline-3-Methylpyridine
P134	pos	7.85	C5H11NO2	5-Aminovalericacid
P135	pos	7.9	C5H13NO	Choline
P136	pos	8.07	C6H11NO4	2-Aminoadipicacid
P137	pos	8.16	C9H11NO3	Tyrosine
P138	pos	8.21	C9H8O3	2-Hydroxycinnamicacid
P139	pos	8.5	C5H10N2O	Prolinamide_C
P140	pos	9.04	C5H9NO2	Proline
P141	pos	9.12	C5H11NO2	Valine
P142	pos	9.14	C7H13NO2	1-Aminocyclohexanecarboxylicacid
P143	pos	9.19	C7H7NO2	4-Aminobenzoicacid
P144	pos	9.21	C4H9NO2	Aminobutyricacid(GABA)
P145	pos	9.3	C6H15NO3	Triethanolamine
P146	pos	9.39	C10H18N2O3	Valylproline
P147	pos	9.56	C19H16N4O2S	6-[(2-5-dimethoxyphenyl)thio]-3-phenyl[1-2-4]triazolo[4-3-b]pyridazine
P148	pos	9.57	C12H22O11	Maltose
P149	pos	9.72	C5H5N5O	Guanine_B
P150	pos	9.73	C6H6N2O	Nicotinamide
P151	pos	9.8	C11H20N2O3	Leucylproline_B
P152	pos	9.9	C4H11NO2	Diethanolamine_B
P153	pos	9.91	C9H7NO	2-Hydroxyquinoline_B
P154	pos	9.94	C4H9NO3	Threonine
P155	pos	10.09	C7H13NO2	DL-Stachydrine
P156	pos	10.18	C6H5NO2	Nicotinicacid
P157	pos	10.26	C12H20N2O3	Pirbuterol_B
P158	pos	10.29	C5H9NO4	Glutamicacid
P159	pos	10.3	C4H9NO3	Homoserine
P160	pos	10.3	C5H7NO3	L-Pyroglutamicacid_B
P161	pos	10.57	C16H17ClN2O2S2	N1-[[(4-chlorophenethyl)amino](methylthio)methylidene]benzene-1-sulfonamide
P162	pos	10.6	C5H7NO3	L-Pyroglutamicacid
P163	pos	10.6	C5H10N2O3	Glutamine_Pos
P164	pos	10.6	C25H26O13	5-7-dihydroxy-2-(4-hydroxyphenyl)-6-8-bis(3-4-5-trihydroxyoxan-2-yl)-4H-chromen-4-one
P165	pos	10.61	C14H16N4O3S2	N4-(2-cyanoethyl)-N4-tetrahydrofuran-2-ylmethyl-2-1-3-benzothiadiazole-4-sulfonamide
P166	pos	10.64	C2H5NO2	Acetohydroxamicacid
P167	pos	10.71	C4H8N2O3	Asparagine_pos
P168	pos	10.72	C3H7NO3	Serine
P169	pos	10.82	C9H13N3O5	Cytidine_B
P170	pos	10.95	C4H7NO4	Asparticacid_Pos
P171	pos	13.39	C8H18N4O2	N3-N4-Dimethyl-L-arginine
P172	pos	13.48	C5H14N4	Agmatine
P173	pos	14.18	C6H9N3O2	Histidine
P174	pos	14.31	C9H21N3O	N8-Acetylspermidine
P175	pos	14.46	C6H14N4O2	Arginine
P176	pos	14.77	C6H14N2O2	Lysine
P177	pos	15.88	C9H20N2O2	N6-N6-N6-Trimethyl-L-lysine
